Copyright;ARTOTHEK_Bildnummer;Caption = Bildtitel;Keywords;Keywords II;Fulltext Keywords;Orientation;Künstler;Standort;Technik;
-/ARTOTHEK;16683;In der Dresdener Galerie. 1881;Karl Louis,Dresden,19. Jahrhundert,Gemäldegalerie,Preusser,Gemaeldegalerie,1845-1902,? - - ARTOTHEK;Preusser, Karl Louis 1845-1902,Museum,Freizeit,Kunst,Gemälde,Sammlung,Kultur,Interieur,Museumsbesucher,Run;;;;;;
Peter Willi/ARTOTHEK;16680;Der Fujiyama (aus der Serie: 36 Ansichten des Berges Fuji). 1831;Farbholzschnitt,19. Jahrhundert,Privatbesitz,1760-1849,Katsushika,Hokusai;Hokusai,Berg,Japan,Asien,Geologie,Wolken,Himmel, japanisch,Fujijama,Fuji,Ansicht,Landschaft,blau,rot,Holzschnitt,Vulkan;1760-1849,1831,19,36,Ansicht,Ansichten,Asien,aus,Berg,Berges,blau,Blaue,blauem,blauer,Blaues,der,des,Farbholzschnitt,Fuji,Fujijama,Fujiyama,Geologie,Himmel,Hokusai,Holzschnitt,Jahrhundert,Japan,japanisch,Katsushika,Landschaft,Privatbesitz,Rot,Rote,rotem,Roten,Roter,Rotes,Serie:,Vulkan,Wolken;Querformat;Hokusai, Katsushika;Privatbesitz;Farbholzschnitt;
Peter Willi/ARTOTHEK;16676;Mittelalterliches Fest.;franz?sisch,Musée de Château,französische,Frankreich,Französischer,Französisches,Französisch,16. Jahrhundert,franzoesisch,Versailles;Frankreich,französisch,Feste,Häuser,Schloss,Jardin d'amour,Liebesgarten,Schloß von Hesdin,Herzog von Burgund,Hochzeit,Hochzeitsfest,Gäste,Fest,Mittelalter,mittelalterlich,Wasserschoß,weiß bekleidet;16,bekleidet,Burgund,Château,d'amour,de,Fest,Feste,Frankreich,franz?sisch,franzoesisch,Französisch,französische,Französischer,Französisches,Gäste,Häuser,Herzog,Hesdin,Hochzeit,Hochzeitsfest,Jahrhundert,Jardin,Liebesgarten,Mittelalter,mittelalterlich,Mittelalterliches,Musee,Musée,Schloss,Versailles,von,Wasserschoß,Weiss,Weisse,weißem,weißer,weisses;Hochformat;Französisch;Versailles, Musée de Château;;
Peter Willi/ARTOTHEK;16674;Die Dame mit dem Einhorn. Der Sehsinn. Zwischen 1484 und 1500;franz?sisch,französische,Musee,Frankreich,15. Jahrhundert,Französischer,Französisches,Französisch,Tapisserie,Musée,franzoesisch,Cluny;Französisch,Tapisserie,Wildtiere,Garten,Standarte,Löwe,Einhorn,Dame,Hasen,Hase,Sehsinn,Sinne,Wandbehang,Wandbespannung,Mittelalter,Einhorn,Spiegel,Fahne,Textil,Stoff,Kaninchen,Blumen,Stechpalme,Eiche,Tiere,Leopard,Hund,Fuchs,zahm,mittelalterlich;1484,15,1500,Blume,Blumen,Cluny,Dame,dem,der,Die,Eiche,Einhorn,Fahne,Frankreich,franz?sisch,franzoesisch,Französisch,französische,Französischer,Französisches,Fuchs,Garten,Hase,Hasen,Hund,Jahrhundert,Kaninchen,Leopard,Loewe,Löwe,mit,Mittelalter,mittelalterlich,Musee,Musée,Sehsinn,Sinne,Spiegel,Standarte,Stechpalme,Stoff,Tapisserie,Textil,Tiere,und,Wandbehang,Wandbespannung,Wildtiere,zahm,zwischen;Querformat;Französisch;Cluny, Musée;Tapisserie;
Peter Willi/ARTOTHEK;16670;Die Ungläubigkeit des hl. Thomas. Um 1547;Salviati,Francesco,1510-1563,Musée du Louvre,Lwd.,Paris;Heiliger Thomas,Visionen,Neues Testament,Heilige,Salviati, Francesco 1510-1563;1510-1563,1547,des,Die,du,Francesco,Heilige,Heiliger,Hl,Hll,Louvre,Lwd,Musee,Musée,Neu,Neue,neuer,Neues,Paris,Salviati,Testament,Thomas,Um,Ungläubigkeit,Visionen;Hochformat;Salviati, Francesco;Paris, Musée du Louvre;Lwd.;
Peter Willi/ARTOTHEK;16668;Portrait der Vizekönigin von Neapel, Isabel de Cardona de Requesens.;Bildnis,Porträt,Schloss,Schloß,Giulio Romano?,Öl/Lwd.,Raffael Schule,Portraet,Portrait,16. Jahrhundert,Fontainebleau;Raffael (1483-1520) Schule,Giulio Romano,Frau,Johanna von Aragon,Robe;1483-1520,16,Aragon,Bildnis,Cardona,de,der,Fontainebleau,Frau,Frauen,Giulio,Isabel,Jahrhundert,Johanna,Neapel,Öl/Lwd,Portraet,Portrait,Porträt,Raffael,Raphael,Requesens,Robe,Romano,Romano?,Schloß,Schule,Vizekoenigin,Vizekönigin,von,weiblich,Weibliche,Weiblicher,Weibliches;Hochformat;Raffael Schule;Fontainebleau, Schloß;Öl/Lwd.;
Peter Willi/ARTOTHEK;16657;Marienkrönung.;Moulins,15. Jahrhundert,Kathedrale,Hey,Jean (Meister von Moulins),tätig 1483-1501;Madonna,Beten,Hey, Jean,Meister von Moulins,Maria,Krone,krönen,Christkind,Jesuskind,Engel,himmlisch,Herrlichkeit,Glorie,Krönung Mariae;1483-1501,15,beten,betend,Christkind,Christuskind,Engel,Gebet,Glorie,Hans,Herrlichkeit,Hey,himmlisch,Jahrhundert,Jean,Jesuskind,Kathedrale,kroenen,Krone,krönen,Krönung,Madonna,Maria,Mariä,Mariae,Marias,Marienkrönung,Meister,Moulins,tätig,von;Hochformat;Hey, Jean (Meister von Moulins);Moulins, Kathedrale;;
Peter Willi/ARTOTHEK;16650;Die Versuchung des hl.Antonius.;1519(?)-1581(?),Musée du Louvre,Paris,Huys,Pieter,16. Jahrhundert;Heiliger Antonius,Heilige,Hexen,Phantasiegestalten,Huys, Pieter 1519(?)-1581(?);?,1519,-1581,16,Antonius,des,Die,du,Heilige,Heiliger,Hexen,Hl,Hll,Huys,Jahrhundert,Louvre,Musee,Musée,Paris,Phantasiegestalten,Pieter,Versuchung;Querformat;Huys, Pieter;Paris, Musée du Louvre;;
Peter Willi/ARTOTHEK;16647;Anna von Kleve. 1539;1497/98-1543,Jean,Musée du Louvre,Holbein d.J.,Paris,Hans,16. Jahrhundert,Pergament/Lwd.;Holbein der Jüngere, Hans Holbein,Renaissance,Schmuck,Ornat,Kopfbedeckung,vierte Ehefrau Heinrich VIII,Frau,Königin,England,Großbritannien,frontal,rot,Mode,Haube;1497/98-1543,1539,16,Anna,Britannien,britisch,britische,britischer,britisches,d,der,du,Ehefrau,England,Englisch,Englische,Englischer,Englisches,Frau,Frauen,Frontal,gross,Großbritannien,Hans,Haube,Heinrich,Holbein,J,Jahrhundert,Jean,Juengere,Jüngere,Kleve,Koenigin,Königin,Kopfbedeckung,Louvre,Mode,Musee,Musée,Ornat,Paris,Pergament/Lwd,renaissance,Rot,Rote,rotem,Roten,Roter,Rotes,Schmuck,vierte,VIII,von,weiblich,Weibliche,Weiblicher,Weibliches;Hochformat;Holbein d.J., Hans;Paris, Musée du Louvre;Pergament/Lwd.;
Peter Willi/ARTOTHEK;16645;Christus und die Samariterin am Brunnen.;(?)-1519(?),Holz,Musée du Louvre,Paris,Johann von Flandern;Neues Testament,Christus,Johann von Flandern (?)-1519(?);?,-1519,am,Brunnen,Christus,Die,du,Flandern,Holz,Johan,Johann,Louvre,Musee,Musée,Neu,Neue,neuer,Neues,Paris,Samariterin,Testament,und,von;Hochformat;Johann von Flandern;Paris, Musée du Louvre;Holz;
Peter Willi/ARTOTHEK;16644;Die Darbringung im Tempel. 1423;Holz,Musée du Louvre,15. Jahrhundert,Paris,um 1370-1427,Gentile da Fabriano;Religiös,Stadtszenerien,Armut,Neues Testament,Gentile da Fabriano (?)-1427,Präsentation im Tempel,Bettler,Architektur;?,1370-1427,1423,-1427,15,Architektur,Armut,Bettler,da,Darbringung,Die,du,Fabriano,Gentile,Holz,im,Jahrhundert,Louvre,Musee,Musée,Neu,Neue,neuer,Neues,Paris,Praesentation,Präsentation,Religiös,Stadtszenerien,Tempel,Testament,Um;Panorama;Gentile da Fabriano;Paris, Musée du Louvre;Holz;
Peter Willi/ARTOTHEK;16643;Köpfe dreier biblischer Propheten.;Schule,Holz,Musée du Louvre,Paris,Provençalische;Kopfbedeckungen,Kopfbedeckung,Männer, Alte Männer,Altes Testament,Schule, Provençalische,Turban,Schriftrolle;Alt,Alte,Alter,Altes,biblischer,dreier,du,Holz,Kopfbedeckung,Kopfbedeckungen,Köpfe,Louvre,Maenner,Männer,Musee,Musée,Paris,Propheten,Provençalische,Schriftrolle,Schule,Testament,Turban;Querformat;Schule, Provençalische;Paris, Musée du Louvre;Holz;
Peter Willi/ARTOTHEK;16640;Ball am Hofe des Herzogs von Joyeuse. 1582;franz?sisch,Öl/Kupfer,französische,Musée du Louvre,Frankreich,Französischer,Französisches,Paris,Französisch,16. Jahrhundert,franzoesisch;Französische Schule,Fest,Tanz,Hof,Anonym,Französisch,Marguerite de Vaudemont,Herzog von Joyeuse,Hochzeit,Brautpaar;1582,16,am,Anonym,Ball,Brautpaar,de,des,du,Fest,Frankreich,franz?sisch,franzoesisch,Französisch,französische,Französischer,Französisches,Herzog,Herzogs,Hochzeit,Hof,Hofe,Jahrhundert,Joyeuse,Louvre,Marguerite,Musee,Musée,Öl/Kupfer,Paris,Schule,Tanz,Vaudemont,von;Querformat;Französisch;Paris, Musée du Louvre;Öl/Kupfer;
Peter Willi/ARTOTHEK;16633;Adam und Eva.;Sammlung Brauenfels,1472-1553,Lucas,Cranach d.Ä.;Paradies,Wildtiere,Reptilien,Cranach d.Ä., Lucas 1472-1553;1472-1553,Ä,Adam,Brauenfels,Cranach,d,Eva,Lucas,Paradies,Reptilien,Sammlung,und,Wildtiere;Hochformat;Cranach d.Ä., Lucas;Sammlung Brauenfels;;
Peter Willi/ARTOTHEK;16629;Die Geschichte der Psyche.;Öl/Holz,um 1570-1629,Musée du Louvre,Hendrick de,Clerck,Paris,16. Jahrhundert;Allegorie,Putten,Clerck, Hendrick de Clerck,Engel,Engelchen,Putte,Manierismus,Akt,Akte,Frauen,Bad,baden,Wasserbecken,Wasserspeier,Bassin,waschen,Reinheit,reinlich,Psyche,Vorhang,Banquet,Bett,Liebe,Himmelbett,Dienerin,Dienerinnen;1570-1629,16,Akt,Akte,Allegorie,Bad,Baden,Banquet,Bassin,Bett,Clerck,de,der,Die,Dienerin,Dienerinnen,du,Engel,Engelchen,Frau,Frauen,Geschichte,Hendrick,Himmelbett,Jahrhundert,Liebe,Louvre,Manierismus,Musee,Musée,Öl/Holz,Paris,Psyche,Putte,Putten,Putti,Putto,Reinheit,reinlich,Um,Vorhang,Waschen,Wasserbecken,Wasserspeier,weiblich,Weibliche,Weiblicher,Weibliches;Querformat;Clerck, Hendrick de;Paris, Musée du Louvre;Öl/Holz;
